"OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","NULLABLE"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","STAGEID","VARCHAR2",256,"N"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","ERRORUID","RAW",16,"N"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","FLOWUID","RAW",16,"N"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","FLOWID","VARCHAR2",1020,"N"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","PHASEUID","RAW",16,"N"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","PHASEID","VARCHAR2",1020,"N"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","ERRORTIMESTAMP","TIMESTAMP(6)",11,"N"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","STAGEID","VARCHAR2",256,"N"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","ERRORCATEGORY","VARCHAR2",4000,"Y"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","ERRORCODE","VARCHAR2",4000,"Y"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","ERRORDESCRIPTION","VARCHAR2",4000,"Y"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","ERRORROWNUMBER","NUMBER",22,"Y"
"CB","CBB_CBSAD_CBSAD_FLOW_ERROR","RECORDUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","ERRORUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","FLOWUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","ERRORTIMESTAMP","TIMESTAMP(6)",11,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","ERRORROWNUMBER","NUMBER",22,"Y"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","ERRORDESCRIPTION","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","ERRORCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","ERRORCATEGORY","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","STAGEID","VARCHAR2",256,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","RECORDUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","PHASEID","VARCHAR2",1020,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","PHASEUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR","FLOWID","VARCHAR2",1020,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","ERRORUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","ERRORROWNUMBER","NUMBER",22,"Y"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","ERRORDESCRIPTION","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","ERRORCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","ERRORCATEGORY","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","ERRORTIMESTAMP","TIMESTAMP(6)",11,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","RECORDUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","PHASEID","VARCHAR2",1020,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","PHASEUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","FLOWID","VARCHAR2",1020,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","FLOWUID","RAW",16,"N"
"CB","CBB_CSDF_CSDF_FLOW_ERROR_OLD","STAGEID","VARCHAR2",256,"N"
"CB","CBB_CSDF_STAGECONTRACTS","CODCURRENCYCODE2","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCURRENCYCODE3","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCURRENCYCODE4","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCURRENCYCODE5","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCURRENCYCODE6","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODDAYSPASTDUECODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGOODTYPECODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANCUSTOMERTYPECODE1","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DATCONTRACTREQUESTDATE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DATCONTRACTSTARTDATE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DATFILEREFERENCEDATE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DATFIRSTPAYMENTDATE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DATINSERTIONNOTEDATE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DATLASTCHARGEDATE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","RECORDUID","RAW",16,"N"
"CB","CBB_CSDF_STAGECONTRACTS","FLOWUID","RAW",16,"N"
"CB","CBB_CSDF_STAGECONTRACTS","PHASEUID","RAW",16,"N"
"CB","CBB_CSDF_STAGECONTRACTS","LOGICALUNITID","NUMBER",22,"N"
"CB","CBB_CSDF_STAGECONTRACTS","LOGICALUNITORDER","NUMBER",22,"N"
"CB","CBB_CSDF_STAGECONTRACTS","LOGICALUNITINDEX","NUMBER",22,"N"
"CB","CBB_CSDF_STAGECONTRACTS","RECORDSTATUS","VARCHAR2",4000,"N"
"CB","CBB_CSDF_STAGECONTRACTS","TIMESTAMPSTART","TIMESTAMP(6)",11,"N"
"CB","CBB_CSDF_STAGECONTRACTS","TIMESTAMPEND","TIMESTAMP(6)",11,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNBILLEDAMOUNT","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNCHARGEDAMOUNT","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNCREDITLIMITAMOUNT","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNFINANCEDAMOUNT","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DATVALIDITYSTARTDATE5","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNNEXTPAYMENTAMOUNT","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNOUTSTANDBALANCEAMOUNT","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNOVERDUEPAYMENTSAMOUNT","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNPRINCIPALOVERDUEPAYMENTS","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","AMNUTILIZATIONAMOUNT","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODACTIONCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODASSETCODE1","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODASSETCODE2","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODASSETCODE3","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODASSETCODE4","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NUMOUTSTANDPAYMENTSNUMBER","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NUMOVERDUEPAYMENTSNUMBER","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NUMPRINCIPALOVERDUEPAYMENTS","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NUMREGISTRATIONNUMBER","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NUMSERVICESLINESNUMBER","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NUMTIMESCARDUSEDNUMBER","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NUMTOTALINSTALLMENTSNUMBER","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANCUSTOMERTYPECODE2","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANCUSTOMERTYPECODE3","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANCUSTOMERTYPECODE4","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANCUSTOMERTYPECODE5","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANCUSTOMERTYPECODE6","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANTEECODE1","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANTEECODE2","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANTEECODE3","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANTEECODE4","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANTEECODE5","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODGUARANTEECODE6","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODINSTALLMENTTYPECODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODLOADINGSTATUS","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODNEWUSEDCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODNOTETYPECODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODORIGINALCURRENCYCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPAYMENTMETHODCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPAYMENTPERIODICITYCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPROVIDERCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPROVIDERCONTRACTCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPROVIDERGUARANTEECODE1","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPROVIDERGUARANTEECODE2","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPROVIDERGUARANTEECODE3","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPROVIDERGUARANTEECODE4","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODPROVIDERGUARANTEECODE5","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODASSETCODE5","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODASSETCODE6","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODASSETQUALITYCLASSCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODBRANCHCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCONTRACTPHASECODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCONTRACTTYPECODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCONTRACTSTATUSCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCONTROLSTATUS","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCREDITSECURITYCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCURRENCYCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODCURRENCYCODE1","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DATVALIDITYSTARTDATE6","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DSCASSETDESC1","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DSCASSETDESC2","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DSCASSETDESC3","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DSCASSETDESC4","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DSCASSETDESC5","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DSCASSETDESC6","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DSCGOODBRANDDESC","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","DSCNOTEDESC","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","CODFILEVERSIONCODE","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","FLGCARDUSED","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NAMGUARANTORNAME1","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NAMGUARANTORNAME2","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NAMGUARANTORNAME3","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NAMGUARANTORNAME4","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NAMGUARANTORNAME5","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NAMGUARANTORNAME6","VARCHAR2",4000,"Y"
"CB","CBB_CSDF_STAGECONTRACTS","NUMINTERESTOVERDUEPAYMENTS","VARCHAR2",4000,"Y"
