RECORD_TYPE,MEMBER_PROPERTY_REFERENCE,TITLE_DEED_AVAILABILITY,SALE_DEED_AVAILABILITY,ENCUMBRANCE_CERTIFICATE_AVAILABILITY,OCCUPANCY_CERTIFICATE_AVAILABILITY,APPROVED_PLAN_AVAILABILITY,LAST_DOCUMENT_REVIEW_DATE
DOCUMENT_STATUS,ABC-COL-0019,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0020,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0021,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0022,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0023,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0024,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0025,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0026,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0027,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0028,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0029,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-03-15
DOCUMENT_STATUS,ABC-COL-0030,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0031,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0032,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0033,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0034,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0035,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0036,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0037,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0038,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-03-15
DOCUMENT_STATUS,ABC-COL-0039,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0040,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0041,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0042,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0043,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0044,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,2026-03-15
DOCUMENT_STATUS,ABC-COL-0045,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_APPLICABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0046,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0047,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0048,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0049,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0050,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0051,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0052,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0053,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-03-15
DOCUMENT_STATUS,ABC-COL-0054,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0055,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0056,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0057,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0058,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0059,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0060,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0061,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0062,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0063,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0064,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0065,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0066,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0067,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0068,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,2026-03-15
DOCUMENT_STATUS,ABC-COL-0069,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0070,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0071,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0072,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0073,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0074,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0075,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,AVAILABLE,2026-01-15
