RECORD_TYPE,MEMBER_LOAN_ACCOUNT_NUMBER,CHARGE_SEQUENCE,CHARGE_TYPE,CHARGE_AMOUNT,CHARGE_REGISTRATION_DATE,CHARGE_REGISTRATION_NUMBER,CHARGE_STATUS,CHARGE_RELEASE_DATE,PRIOR_CHARGE_EXISTS,PRIOR_CHARGE_HOLDER_NAME
MORTGAGE_CHARGE,ABC-HL-0027,1,REGISTERED_MORTGAGE,17598334.15,2024-05-26,CHG/2024/60027,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0028,1,EQUITABLE_MORTGAGE,15148820.15,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0029,1,PARI_PASSU,6268048.35,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0030,1,FIRST_CHARGE,11114167.86,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0031,1,SECOND_CHARGE,39749064.71,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0032,1,REGISTERED_MORTGAGE,23886711.35,2022-11-09,CHG/2022/60032,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0033,1,EQUITABLE_MORTGAGE,12679016.67,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0034,1,PARI_PASSU,21803779.30,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0035,1,FIRST_CHARGE,43055415.64,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0036,1,SECOND_CHARGE,2867544.13,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0037,1,REGISTERED_MORTGAGE,43361205.04,2020-06-10,CHG/2020/60037,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0038,1,EQUITABLE_MORTGAGE,42223677.15,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0039,1,PARI_PASSU,15048841.99,,,RELEASED,2026-03-31,N,
MORTGAGE_CHARGE,ABC-HL-0040,1,FIRST_CHARGE,39472440.70,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0041,1,SECOND_CHARGE,12818325.90,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0042,1,REGISTERED_MORTGAGE,4071200.26,2018-09-01,CHG/2018/60042,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0043,1,EQUITABLE_MORTGAGE,28191187.02,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0044,1,PARI_PASSU,25381892.46,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0044,2,PARI_PASSU,12690946.23,2020-10-28,CHG-PARI/2020/60044,ACTIVE,,Y,PQR Housing Finance Ltd
MORTGAGE_CHARGE,ABC-HL-0045,1,FIRST_CHARGE,28552584.08,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0046,1,SECOND_CHARGE,28732162.67,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0047,1,REGISTERED_MORTGAGE,17915405.65,2024-03-11,CHG/2024/60047,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0048,1,EQUITABLE_MORTGAGE,22914736.28,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0049,1,PARI_PASSU,29119894.40,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0050,1,FIRST_CHARGE,26532973.76,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0051,1,SECOND_CHARGE,12688317.95,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0052,1,REGISTERED_MORTGAGE,15722239.73,2021-07-01,CHG/2021/60052,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0053,1,EQUITABLE_MORTGAGE,35326273.42,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0054,1,PARI_PASSU,7065350.84,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0055,1,FIRST_CHARGE,40812313.21,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0056,1,SECOND_CHARGE,31309411.84,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0057,1,REGISTERED_MORTGAGE,9900826.52,2019-11-28,CHG/2019/60057,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0058,1,EQUITABLE_MORTGAGE,32351623.01,,,RELEASED,2026-03-31,N,
MORTGAGE_CHARGE,ABC-HL-0059,1,PARI_PASSU,10209909.45,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0060,1,FIRST_CHARGE,41135519.37,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0061,1,SECOND_CHARGE,39692267.80,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0062,1,REGISTERED_MORTGAGE,33464993.83,2024-06-12,CHG/2024/60062,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0063,1,EQUITABLE_MORTGAGE,3084690.26,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0064,1,PARI_PASSU,7003839.49,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0064,2,PARI_PASSU,3501919.75,2019-07-21,CHG-PARI/2019/60064,ACTIVE,,Y,PQR Housing Finance Ltd
MORTGAGE_CHARGE,ABC-HL-0065,1,FIRST_CHARGE,4221470.47,,,RELEASED,2026-03-31,N,
MORTGAGE_CHARGE,ABC-HL-0066,1,SECOND_CHARGE,25165610.16,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0067,1,REGISTERED_MORTGAGE,13642821.45,2022-11-05,CHG/2022/60067,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0068,1,EQUITABLE_MORTGAGE,18260994.47,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0069,1,PARI_PASSU,22982290.36,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0070,1,FIRST_CHARGE,28536258.79,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0071,1,SECOND_CHARGE,28814860.38,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0072,1,REGISTERED_MORTGAGE,24750542.64,2020-02-23,CHG/2020/60072,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0073,1,EQUITABLE_MORTGAGE,5784524.81,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0074,1,PARI_PASSU,31969994.13,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0075,1,FIRST_CHARGE,4689294.60,,,RELEASED,2026-03-31,N,
